case,actuation_pattern,del_x,del_y,del_z,del_qx,del_qy,del_qz,del_qw
5,"(1, 0, 1, 0)",-0.005088091,0.185831676,-0.031255245,0.589753508,0.160096757,-0.014126092,0.051663816
5,"(1, 0, 1, 0)",0.042722158,0.264340945,-0.013879895,0.740044623,0.131991007,0.032716259,0.026085139
5,"(1, 0, 1, 0)",0.019365318,0.239846855,-0.023755074,0.658602595,0.159267821,-0.004261077,0.038205445
5,"(1, 0, 1, 0)",-0.014134773,0.226481341,-0.023752809,0.587177932,0.231670745,-0.006209731,0.038760722
5,"(1, 0, 1, 0)",0.041584335,0.264852189,-0.010571003,0.744481802,0.156074472,-0.011452407,0.008361817
5,"(1, 0, 1, 0)",-0.010637396,0.24212807,-0.011022806,0.670763105,0.271506317,0.003230601,0.009202659
5,"(1, 0, 1, 0)",-0.038893689,0.161539972,-0.032326341,0.425138058,0.259545274,-0.012684673,0.047261715
5,"(1, 0, 1, 0)",-0.077320937,0.180787185,-0.017418146,0.432702632,0.348961122,-0.003404171,0.019249678
5,"(1, 0, 1, 0)",0.021314494,0.055317432,-0.028671384,0.144022345,0.000933691,-0.011964977,0.049450875
5,"(1, 0, 1, 0)",0.169951558,0.074195042,-0.002612948,0.285397023,-0.347655468,-0.006829769,0.016496182
5,"(1, 0, 1, 0)",0.159368932,0.084623046,-0.007383466,0.330220371,-0.370472871,0.004259526,0.01548487
5,"(1, 0, 1, 0)",0.009042531,0.067594066,-0.033391476,0.179470524,0.013072245,-0.017382533,0.056922078
5,"(1, 0, 1, 0)",-0.005010672,0.10584785,-0.042027593,0.250643417,0.063341536,-0.00665167,0.071813226
5,"(1, 0, 1, 0)",0.031143985,0.179289995,-0.04825449,0.462748568,0.088424809,-0.01535523,0.077722609
5,"(1, 0, 1, 0)",0.021407082,0.201837679,-0.040162683,0.573912412,0.090018869,-0.014605195,0.064380884
5,"(1, 0, 1, 0)",0.048534184,0.211553682,-0.040102601,0.586231544,0.06591595,-0.013722182,0.064490974
5,"(1, 0, 1, 0)",0.040249198,0.102532901,-0.041767597,0.247610152,-0.00520775,-0.018617928,0.070530236
5,"(1, 0, 1, 0)",0.008087426,-0.025058135,0.011714816,-0.041652978,-0.021317021,0.007293313,-0.01834321
5,"(1, 0, 1, 0)",-0.004609049,-0.016703889,0.009695053,-0.03917408,0.000508098,0.00611645,-0.017304599
5,"(1, 0, 1, 0)",0.103645026,-0.000669926,0.008406401,0.056125372,-0.240801968,-0.000781298,-0.007449388
5,"(1, 0, 1, 0)",0.130147099,-0.033311784,0.037953019,0.068460375,-0.396161429,0.0356289,-0.049347818
5,"(1, 0, 1, 0)",0.070518389,-0.049123466,0.029625893,-0.045677662,-0.199757837,0.032117217,-0.035407543
5,"(1, 0, 1, 0)",0.004397824,-0.043254137,0.02633369,-0.088161171,-0.026791783,0.012600481,-0.042630434
5,"(1, 0, 1, 0)",-0.025388897,-0.037264764,0.027837157,-0.093944758,0.017344708,0.022957116,-0.043224394
5,"(1, 0, 1, 0)",-0.013499856,-0.038197458,0.026356697,-0.091100216,0.001124941,0.01995106,-0.042065501
5,"(1, 0, 1, 0)",0.023965358,0.153946873,-0.048665881,0.418383801,0.087931,-0.01864028,0.078541339
5,"(1, 0, 1, 0)",0.009681977,0.182025523,-0.047089577,0.454033196,0.120751239,-0.014927805,0.074577988
5,"(1, 0, 1, 0)",0.016756959,0.176501108,-0.048107028,0.444032389,0.109219678,-0.014422685,0.076661825
5,"(1, 0, 1, 0)",0.012847684,0.155862089,-0.048717618,0.42093848,0.110089332,-0.01625374,0.076730907
6,"(1, 0, 0, 1)",0.0003317,0.00232026,0.000191331,0.006115231,-0.002060659,-0.002976298,-0.000736296
6,"(1, 0, 0, 1)",0.001813844,0.004057221,0.000190615,0.004912451,-0.004239403,0.001604736,0.00122726
6,"(1, 0, 0, 1)",0.000783674,0.001348943,4.55E-05,0.003485271,-0.00436315,0.002226323,0.001450002
6,"(1, 0, 0, 1)",0.00087668,0.002729297,7.59E-05,0.005643666,-0.003590442,-3.15E-05,0.000550449
6,"(1, 0, 0, 1)",0.00201311,0.002228439,-0.000214815,-0.005730266,-0.007619269,0.001746417,0.001490891
6,"(1, 0, 0, 1)",0.00519231,-0.061700106,0.006151676,-0.145617524,-0.070034646,0.006023467,-0.005427957
